state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
MD,"Marada Industries, Inc.",marada industries,,,332116,source,,,,,,,,,,,,,,n:marada industries,Westminster city,2483100,Carroll County,24013,39.579154,-77.006691,place,Westminster,2010-01-07,2010-03-09,117,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,0e3e8a70dca8cf68f945730d66708c8014de9d84854df0ae5b3b0f0c,5d7bc1c1fb4e0a4255d96ef7038da8698907d132,2026-07-16,2026-07-19
MD,ARAMARK Management Services University Specialty Hospital,aramark management services university specialty hospital,,,722310,source,,,,,,,,,,,,,,n:aramark management services university specialty hospital,Baltimore city,2404000,Baltimore city,24510,39.300032,-76.610476,place,Baltimore City,2010-01-18,2010-04-12,43,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,f5b82beb59cc911420140e4410226797e91ce247afdbb201821ba9e3,c502f267b3edfc7e8e548070f3f9665a336fb57b,2026-07-16,2026-07-19
MD,ARAMARK Management Services University of Maryland Medical System,aramark management services university of maryland medical system,,,722310,source,,,,,,,,,,,,,,n:aramark management services university of maryland medical system,Baltimore city,2404000,Baltimore city,24510,39.300032,-76.610476,place,Baltimore City,2010-01-18,2010-04-12,411,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,6efc10061038a73a585c02d4d87b55955f42c49f4b493baf697284cf,412a86fafd5c3eabc2648b0da47f100686805c85,2026-07-16,2026-07-19
MD,Prime Retail Management,prime retail management,,,551114,source,,,,,,,,,,,,,,n:prime retail management,Baltimore city,2404000,Baltimore city,24510,39.300032,-76.610476,place,Baltimore City,2010-01-20,2010-03-15,,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,331b0ccd8b635cb4b93660d592f1092e997e4a6b575000a36d29b391,66ea0c48606101b5ced54dd05951b525eef11add,2026-07-16,2026-07-19
MD,NO WARNS REPORTED,no warns reported,,,,,,,,,,,,,,,,,,n:no warns reported,,,,,,,,,2010-02-01,,,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,460b90baa2e0112be9aac89ab80af6cfa39d90bc2e92de80748b23e3,b87c5001bb129af140d09f5c84183e5499fee992,2026-07-16,2026-07-19
MD,Wackenhut Services Inc.,wackenhut services,,,561612,source,,,,,,,,,,,WACKENHUT CORP,104030,,n:wackenhut services,Columbia CDP,2419125,Howard County,24027,39.201146,-76.85905,place,Columbia,2010-03-01,2010-04-30,5,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,23ca93a242f3c929dc4f22b809a933a3909154afd990b7c70b3f82a4,f55fe77584703346fb552730e919eb6ba681ac56,2026-07-16,2026-07-19
MD,Sears Holdings,sears holdings,Sears Holdings Corporation,,561499,source,1310067,,exact,5311,Retail-Department Stores,,,,Q966556,cik,,,automatic,qid:Q966556,Columbia CDP,2419125,Howard County,24027,39.201146,-76.85905,place,Columbia,2010-03-05,2010-03-15,101,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,b7133f79e60c063ec53495476fe6064cd034773e541fe00c6da00a5b,62a152e288256c64fc42b5cfba26630832164d8e,2026-07-16,2026-07-19
MD,General Dynamics,general dynamics,General Dynamics,,332722,source,40533,GD,exact,3730,Ship & Boat Building & Repairing,,,,Q502940,cik,,,automatic,qid:Q502940,Westminster city,2483100,Carroll County,24013,39.579154,-77.006691,place,Westminster,2010-03-08,2010-03-08,80,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,ae6449336a3c445a272770083fd32b64289c397cb4e06f33c53fe4e5,7da8a3b35cbd122743b281f1e89dc9950ada963f,2026-07-16,2026-07-19
MD,Capital One Bank,capital one bank,,,522310,source,1003952,,exact:post-era,6189,Asset-Backed Securities,,,,,,,,automatic,cik:1003952,Laurel city,2445900,Prince George's County,24033,39.095075,-76.861245,place,Laurel,2010-03-09,2010-07-01,179,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,716ac75fbb15cd17a79d0ee192cc0a2375056e140a832657a19564a4,7961d5ff7928df9f47ecd86194c7cc864c5ab8e5,2026-07-16,2026-07-19
MD,Northrop Grumman,northrop grumman,Northrop Grumman Corporation,,811219,source,1133421,NOC,exact,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",,,,Q329953,cik,,,automatic,qid:Q329953,Hagerstown city,2436075,Washington County,24043,39.640182,-77.722691,place,Hagerstown,2010-03-11,2010-05-09,174,unknown,,0,0,1,https://www.dllr.state.md.us/employment/warn.shtml,baba7dab31475b18a5293e15c778c1c9900432be59b8efcba8fe0295,8158aeb06346167060ddfabeb6cb0fa9ee7b5880,2026-07-16,2026-07-19
